MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1276.7,47.72,1.62,6.18,7.74,4188.52,4106.5,12.25,10.87,0.31,2.17,0.24,0.24,0.28,0.77442,2.94442,150.08,1,1,2787.93,0.27,152.4683,1.00E-08,152.4683,152.4683
1276.8,48.34,1.24,5.05,7.15,4188.85,4106.83,12.25,9.33,0.32,2.16,0.24,0.25,0.28,0.78466,2.94466,151.51,1,1,2343.16,0.27,,1.00E-08,141.3596,140.9224372
1276.9,52.74,0.96,4.29,6.87,4189.18,4107.16,12.25,8.6,0.32,2.15,0.24,0.23,0.28,0.78906,2.93906,102.28,1,1,2137.44,0.28,130.2509,1.00E-08,130.2509,130.2509
1277,55.02,0.87,4.18,7.6,4189.51,4107.49,12.25,9.12,0.33,2.14,0.24,0.22,0.28,0.78258,2.92258,85.83,1,1,1936.91,0.28,,1.00E-08,111.367035,109.7543445
1277.1,50.52,0.89,4.37,9.07,4189.83,4107.81,12.25,9.87,0.34,2.13,0.24,0.25,0.29,0.77532,2.90532,150.72,1,1,1736.37,0.28,92.48317,2.36E-05,92.48317,92.48317
1277.2,48.53,0.95,5.06,10.44,4190.16,4108.14,12.25,11.03,0.34,2.13,0.24,0.25,0.29,0.76688,2.89688,184.55,1,1,1535.83,0.28,,0.000113922,82.59089,81.99632862
1277.3,51.67,1.05,6.35,13.55,4190.49,4108.47,12.25,12.99,0.33,2.14,0.25,0.24,0.29,0.75311,2.89311,141.08,1,1,1413.81,0.28,72.69861,0.000456804,72.69861,72.69861
1277.4,53.51,1.12,7.09,14.5,4190.82,4108.8,12.25,14.12,0.32,2.15,0.25,0.23,0.28,0.74819,2.89819,107.34,1,1,1406.27,0.28,,0.00125521,89.891955,88.23237763
1277.5,54.38,1.05,6.27,12.74,4191.15,4109.13,12.25,12.45,0.31,2.18,0.26,0.22,0.28,0.75955,2.93955,88.06,1,1,1398.73,0.28,107.0853,0.001452431,107.0853,107.0853
1277.6,54.33,0.9,4.4,9.22,4191.48,4109.45,12.25,8.83,0.3,2.19,0.25,0.22,0.27,0.79054,2.98054,70.98,1,1,1391.19,0.27,134.6729,0.000916499,134.6729,134.6729
